subject,count
"Justinian I, Reign of (Byzantine Empire)",658
"Nero, Reign of (Rome)",659
Roman Period (Great Britain),660
"Justin II, Reign of (Byzantine Empire)",661
"Tiberius II, Reign of (Byzantine Empire)",662
"Maurice, Reign of (Byzantine Empire)",663
Post-exilic Period (Judaism),664
Babylonian Captivity Period (Jews),665
"First Triumvirate, Period of (Rome)",666
"Ancient Chinese Language, Period of",667
"Heraclius, Reign of (Byzantine Empire)",668
Arab Period (Armenia),669
"Constans II, Reign of (Byzantine Empire)",670
Demotic Period (Egypt),671
"Justinian II, Reign of (Byzantine Empire)",672
"Vespasian, Reign of (Rome)",673
"Flavians, Reign of (Rome)",674
"Justinian II, Reign of (Byzantine Empire)",675
Nara Period (Japan),676
"Leo III the Isaurian, Reign of (Byzantine Empire)",677
Spring and Autumn Period (China),678
"Constantine V Copronymus, Reign of (Byzantine Empire)",679
"Old High German Language, Period of",680
"Kings, Period of (Rome)",681
"Carolingian Rule, Period under (Italy)",682
"Titus, Reign of (Rome)",683
Heian Period (Japan),684
"Irene, Reign of (Byzantine Empire)",685
"Domitian, Reign of (Rome)",686
"Leo V, Reign of (Byzantine Empire)",687
"Louis I, Reign of (Holy Roman Empire)",688
"Arab Rule, Period under (Crete)",689
"Theophilus, Reign of (Byzantine Empire)",690
"Charles II, Reign of (France)",691
Middle Ages (Germany),692
"Edmund, Reign of (Great Britain)",693
"Alfonso III, Reign of (Leon)",694
"Basil I, Reign of (Byzantine Empire)",695
"Alfred, Reign of (Great Britain)",696
"Leo VI, Reign of (Byzantine Empire)",697
"Italian Kings, Period of the (Italy)",698
"Eudes, Reign of (France)",699
"Charles III, Reign of (France)",700
Geometric Period,701
Geometric Period (Greece),702
"Constantine VII Porphyrogenitus, Reign of (Byzantine Empire)",703
"Henry I, Reign of (Germany)",704
"Robert I, Reign of (France)",705
